"test","gene","padj","FoldChange"
"TN.DBP+FITC.vs.UT.down","Nr4a3_ENSMUSG00000028341",4.11171828545134e-05,0.390095401155803
"TN.DBP+FITC.vs.UT.down","Serpine1_ENSMUSG00000037411",2.62542461350667e-08,0.39016740928005
"TN.DBP+FITC.vs.UT.down","Trim69_ENSMUSG00000033368",0.0022060140744583,0.390257286882383
"TN.DBP+FITC.vs.UT.down","Plek_ENSMUSG00000020120",3.72667504784049e-11,0.395048659908514
"TN.DBP+FITC.vs.UT.down","Perp_ENSMUSG00000019851",1.50857677722798e-06,0.397780924926119
"TN.Nb.vs.PBS.down","Amy1_ENSMUSG00000074264",0.00446033550486915,0.325098488408257
"TN.Nb.vs.PBS.down","Bpifa2_ENSMUSG00000042459",0.00517157601062582,0.343374889683281
"TN.Nb.vs.PBS.down","Il18r1_ENSMUSG00000026070",1.44376808227648e-10,0.355330151748114
"TN.Nb.vs.PBS.down","Olfr111_ENSMUSG00000090675",6.26552192997216e-07,0.362920942791454
"TN.Nb.vs.PBS.down","Xcr1_ENSMUSG00000060509",0.000176108889585562,0.375408229865518
"TN.Nb.vs.PBS.down","St18_ENSMUSG00000033740",2.12393815361921e-12,0.383767994481411
"TN.Nb.vs.PBS.down","Vwce_ENSMUSG00000043789",1.08797519305981e-05,0.387448310186751
"TN.Nb.vs.PBS.down","Rec8_ENSMUSG00000002324",0.000364123437257968,0.399062082801083
"TN.Nb.vs.PBS.down","Tnfsf15_ENSMUSG00000050395",0.000983784500499805,0.402551411607419
"TN.Nb.vs.PBS.down","Leprel1_ENSMUSG00000038168",2.59721524552066e-11,0.4058696365454
"TN.Nb.vs.PBS.down","Slc6a13_ENSMUSG00000030108",1.33922005432408e-08,0.411941640125859
"TN.Nb.vs.PBS.down","Igsf6_ENSMUSG00000035004",1.65485671057186e-06,0.424001989665033
"TN.Nb.vs.PBS.down","Xist_ENSMUSG00000086503",0.00789817818881245,0.428907436368241
"TN.Nb.vs.PBS.down","Sim1_ENSMUSG00000019913",0.000221986572814207,0.429379383280512
"TN.Nb.vs.PBS.down","Myh15_ENSMUSG00000092009",1.24003181984444e-06,0.432550309798481
"TN.Nb.vs.PBS.down","Vcan_ENSMUSG00000021614",0.000931660256529443,0.434444425501852
"TN.Nb.vs.PBS.down","Vwf_ENSMUSG00000001930",4.97034102611198e-06,0.435180945123136
"TN.Nb.vs.PBS.down","Skint3_ENSMUSG00000070868",0.00128629007715831,0.440114588117585
"TN.Nb.vs.PBS.down","Cyp2ab1_ENSMUSG00000022818",1.1336587411575e-08,0.441782390025575
"TN.Nb.vs.PBS.down","Il18rap_ENSMUSG00000026068",0.00479354751189244,0.450492201675365
"TN.Nb.vs.PBS.down","Zfp831_ENSMUSG00000050600",0.000457521895612789,0.457205052503481
"TN.Nb.vs.PBS.down","Foxred2_ENSMUSG00000016552",1.88274595935418e-12,0.459959006581911
"TN.Nb.vs.PBS.down","Shisa9_ENSMUSG00000022494",0.000581242696825556,0.460664962737776
"TN.Nb.vs.PBS.down","Sptbn2_ENSMUSG00000067889",0.00323573394998938,0.468652589941322
"TN.Nb.vs.PBS.down","St8sia6_ENSMUSG00000003418",1.15623567933216e-09,0.472142403738909
